team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
Afghanistan,England,2015/16,2016/03/23,Feroz Shah Kotla,Delhi,England,bat,MM Ali,England,15,0
India,Bangladesh,2015/16,2016/03/23,M Chinnaswamy Stadium,Bangalore,Bangladesh,field,R Ashwin,India,1,0
Australia,Pakistan,2015/16,2016/03/25,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",Chandigarh,Australia,bat,JP Faulkner,Australia,21,0
South Africa,West Indies,2015/16,2016/03/25,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,West Indies,field,MN Samuels,West Indies,0,3
Bangladesh,New Zealand,2015/16,2016/03/26,Eden Gardens,Kolkata,New Zealand,bat,KS Williamson,New Zealand,75,0
England,Sri Lanka,2015/16,2016/03/26,Feroz Shah Kotla,Delhi,Sri Lanka,field,JC Buttler,England,10,0
India,Australia,2015/16,2016/03/27,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",Chandigarh,Australia,bat,V Kohli,India,0,6
Afghanistan,West Indies,2015/16,2016/03/27,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,West Indies,field,Najibullah Zadran,Afghanistan,6,0
South Africa,Sri Lanka,2015/16,2016/03/28,Feroz Shah Kotla,Delhi,South Africa,field,AM Phangiso,South Africa,0,8
England,New Zealand,2015/16,2016/03/30,Feroz Shah Kotla,Delhi,England,field,JJ Roy,England,0,7
India,West Indies,2015/16,2016/03/31,Wankhede Stadium,Mumbai,West Indies,field,LMP Simmons,West Indies,0,7
England,West Indies,2015/16,2016/04/03,Eden Gardens,Kolkata,West Indies,field,MN Samuels,West Indies,0,4
Ireland,Papua New Guinea,2015/16,2016/02/07,Tony Ireland Stadium,Townsville,Papua New Guinea,field,Unknown,Ireland,7,0
Ireland,Papua New Guinea,2015/16,2016/02/09,Tony Ireland Stadium,Townsville,Papua New Guinea,bat,Unknown,Papua New Guinea,11,0
India,Sri Lanka,2015/16,2016/02/09,Maharashtra Cricket Association Stadium,Pune,Sri Lanka,field,CAK Rajitha,Sri Lanka,0,5
India,Sri Lanka,2015/16,2016/02/12,JSCA International Stadium Complex,Ranchi,Sri Lanka,field,S Dhawan,India,69,0
India,Sri Lanka,2015/16,2016/02/14,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,field,R Ashwin,India,0,9
Afghanistan,Oman,2015/16,2016/02/20,Khan Shaheb Osman Ali Stadium,Fatullah,Oman,bat,Unknown,Afghanistan,0,3
India,Bangladesh,2015/16,2016/02/24,Shere Bangla National Stadium,Dhaka,Bangladesh,field,RG Sharma,India,45,0
India,Pakistan,2015/16,2016/02/27,Shere Bangla National Stadium,Mirpur,India,field,V Kohli,India,0,5
Bangladesh,Sri Lanka,2015/16,2016/02/28,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Sabbir Rahman,Bangladesh,23,0
India,Sri Lanka,2015/16,2016/03/01,Shere Bangla National Stadium,Mirpur,India,field,V Kohli,India,0,5
Bangladesh,Pakistan,2015/16,2016/03/02,Shere Bangla National Stadium,Mirpur,Pakistan,bat,Soumya Sarkar,Bangladesh,0,5
Pakistan,Sri Lanka,2015/16,2016/03/04,Shere Bangla National Stadium,Mirpur,Pakistan,field,Umar Akmal,Pakistan,0,6
Bangladesh,India,2015/16,2016/03/06,Shere Bangla National Stadium,Mirpur,India,field,S Dhawan,India,0,8
Sri Lanka,Australia,2016,2016/09/06,Pallekele International Cricket Stadium,,Sri Lanka,field,GJ Maxwell,Australia,85,0
Sri Lanka,Australia,2016,2016/09/09,R Premadasa Stadium,Colombo,Sri Lanka,bat,GJ Maxwell,Australia,0,4
