team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
New Zealand,Scotland,2009,2009/06/06,Kennington Oval,London,New Zealand,field,IG Butler,New Zealand,0,7
Australia,West Indies,2009,2009/06/06,Kennington Oval,London,Australia,bat,CH Gayle,West Indies,0,7
Bangladesh,India,2009,2009/06/06,Trent Bridge,Nottingham,India,bat,PP Ojha,India,25,0
Scotland,South Africa,2009,2009/06/07,Kennington Oval,London,Scotland,field,AB de Villiers,South Africa,130,0
England,Pakistan,2009,2009/06/07,Kennington Oval,London,Pakistan,field,LJ Wright,England,48,0
Bangladesh,Ireland,2009,2009/06/08,Trent Bridge,Nottingham,Ireland,field,NJ O'Brien,Ireland,0,6
Australia,Sri Lanka,2009,2009/06/08,Trent Bridge,Nottingham,Sri Lanka,field,KC Sangakkara,Sri Lanka,0,6
Netherlands,Pakistan,2009,2009/06/09,Lord's,London,Pakistan,bat,Kamran Akmal,Pakistan,82,0
New Zealand,South Africa,2009,2009/06/09,Lord's,London,New Zealand,field,RE van der Merwe,South Africa,1,0
India,Ireland,2009,2009/06/10,Trent Bridge,Nottingham,India,field,Z Khan,India,0,8
Sri Lanka,West Indies,2009,2009/06/10,Trent Bridge,Nottingham,West Indies,field,ST Jayasuriya,Sri Lanka,15,0
Ireland,New Zealand,2009,2009/06/11,Trent Bridge,Nottingham,Ireland,field,AJ Redmond,New Zealand,83,0
England,South Africa,2009,2009/06/11,Trent Bridge,Nottingham,England,bat,JH Kallis,South Africa,0,7
Pakistan,Sri Lanka,2009,2009/06/12,Lord's,London,Sri Lanka,bat,TM Dilshan,Sri Lanka,19,0
India,West Indies,2009,2009/06/12,Lord's,London,India,bat,DJ Bravo,West Indies,0,7
South Africa,West Indies,2009,2009/06/13,Kennington Oval,London,West Indies,field,WD Parnell,South Africa,20,0
New Zealand,Pakistan,2009,2009/06/13,Kennington Oval,London,New Zealand,bat,Umar Gul,Pakistan,0,6
Ireland,Sri Lanka,2009,2009/06/14,Lord's,London,Sri Lanka,bat,DPMD Jayawardene,Sri Lanka,9,0
England,India,2009,2009/06/14,Lord's,London,India,field,RJ Sidebottom,England,3,0
England,West Indies,2009,2009/06/15,Kennington Oval,London,England,bat,RR Sarwan,West Indies,0,5
Ireland,Pakistan,2009,2009/06/15,Kennington Oval,London,Pakistan,bat,Kamran Akmal,Pakistan,39,0
New Zealand,Sri Lanka,2009,2009/06/16,Trent Bridge,Nottingham,Sri Lanka,bat,BAW Mendis,Sri Lanka,48,0
India,South Africa,2009,2009/06/16,Trent Bridge,Nottingham,South Africa,bat,AB de Villiers,South Africa,12,0
Pakistan,South Africa,2009,2009/06/18,Trent Bridge,Nottingham,Pakistan,bat,Shahid Afridi,Pakistan,7,0
Sri Lanka,West Indies,2009,2009/06/19,Kennington Oval,London,West Indies,field,TM Dilshan,Sri Lanka,57,0
Pakistan,Sri Lanka,2009,2009/06/21,Lord's,London,Sri Lanka,bat,Shahid Afridi,Pakistan,0,8
Netherlands,Scotland,2008,2008/08/04,"""Civil Service Cricket Club, Stormont""",Belfast,Netherlands,field,RN ten Doeschate,Netherlands,0,5
Pakistan,Sri Lanka,2008/09,2008/10/11,Maple Leaf North-West Ground,King City,Pakistan,field,Shoaib Malik,Pakistan,0,3
Pakistan,Sri Lanka,2008/09,2008/10/13,Maple Leaf North-West Ground,King City,Sri Lanka,field,ST Jayasuriya,Sri Lanka,0,5
New Zealand,India,2008/09,2009/02/27,Westpac Stadium,Wellington,New Zealand,field,BB McCullum,New Zealand,0,5
New Zealand,West Indies,2008/09,2008/12/28,Seddon Park,Hamilton,New Zealand,bat,JD Ryder,New Zealand,36,0
New Zealand,India,2008/09,2009/02/25,AMI Stadium,Christchurch,New Zealand,field,BB McCullum,New Zealand,0,7
Sri Lanka,India,2008/09,2009/02/10,R Premadasa Stadium,Colombo,Sri Lanka,bat,YK Pathan,India,0,3
South Africa,England,2009/10,2009/11/13,New Wanderers Stadium,Johannesburg,South Africa,field,EJG Morgan,England,1,0
South Africa,England,2009/10,2009/11/15,SuperSport Park,Centurion,South Africa,bat,LE Bosman,South Africa,84,0
Australia,Pakistan,2009,2009/05/07,Dubai International Cricket Stadium,,Pakistan,field,"Shahid Afridi, Umar Gul",Pakistan,0,7
West Indies,Bangladesh,2009,2009/08/02,"""Warner Park, Basseterre""",St Kitts,Bangladesh,bat,DJG Sammy,West Indies,0,5
Sri Lanka,Pakistan,2009,2009/08/12,R Premadasa Stadium,Colombo,Pakistan,bat,Shahid Afridi,Pakistan,52,0
Sri Lanka,New Zealand,2009,2009/09/02,R Premadasa Stadium,Colombo,New Zealand,bat,DL Vettori,New Zealand,3,0
Sri Lanka,New Zealand,2009,2009/09/04,R Premadasa Stadium,Colombo,New Zealand,bat,JD Ryder,New Zealand,22,0
Australia,West Indies,2009/10,2010/02/21,Bellerive Oval,Hobart,Australia,bat,SW Tait,Australia,38,0
Australia,West Indies,2009/10,2010/02/23,Sydney Cricket Ground,,West Indies,bat,DA Warner,Australia,0,8
